address,city,price,bedrooms,size_sqft,school_rating,commute_time_min,bathrooms,year_built,has_pool,garage_spaces,lot_size_sqft,description
"774 Example St, Denver",Denver,880070,3,3520,2,23,3,2021,1,3,8290,"Elegant duplex with dual master suites, skylights, heated bathroom floors, and a serene zen garden in the courtyard."
"462 Example St, Denver",Denver,317310,1,1876,1,58,4,1951,0,3,6345,"Modern architectural gem with glass walls, smart home integration, and a rooftop patio overlooking the skyline."
"520 Example St, Denver",Denver,680348,3,2234,5,45,2,1964,1,3,4693,"Lake-facing property with private dock access, floor-to-ceiling windows, and open-plan kitchen ideal for entertaining guests."
"984 Example St, Miami",Miami,267319,4,3351,4,44,3,1959,1,1,6100,"Renovated craftsman-style house with vintage finishes, a library nook, and a detached art studio in the backyard."
"789 Example St, Miami",Miami,861552,2,3261,4,60,4,1969,1,3,7364,"Spacious suburban retreat with a wraparound porch, kids' play area, and high-rated elementary school just two blocks away."
"162 Example St, Denver",Denver,1041303,4,2129,3,28,3,2019,1,1,3263,"Charming bungalow featuring exposed brick interiors, a lush garden, and walking distance to vibrant cafes and shops."
"845 Example St, Seattle",Seattle,761493,1,2394,2,41,1,1954,0,0,5234,"Elegant duplex with dual master suites, skylights, heated bathroom floors, and a serene zen garden in the courtyard."
"919 Example St, Miami",Miami,338807,3,2719,9,17,1,1997,0,2,5139,"Elegant duplex with dual master suites, skylights, heated bathroom floors, and a serene zen garden in the courtyard."
"354 Example St, Austin",Austin,642463,5,2449,2,50,4,2020,1,2,5174,"Nestled in a quiet cul-de-sac, this home boasts panoramic city views, a gourmet kitchen, and a cozy fireplace in the living room."
"294 Example St, Chicago",Chicago,1389462,2,1095,10,9,1,1968,0,0,4346,"Charming bungalow featuring exposed brick interiors, a lush garden, and walking distance to vibrant cafes and shops."
"559 Example St, Austin",Austin,859927,5,1615,7,7,1,2005,1,1,4734,"Renovated craftsman-style house with vintage finishes, a library nook, and a detached art studio in the backyard."
"532 Example St, Austin",Austin,645910,1,1520,1,47,2,1966,0,2,6444,"Nestled in a quiet cul-de-sac, this home boasts panoramic city views, a gourmet kitchen, and a cozy fireplace in the living room."
"385 Example St, Denver",Denver,1246963,3,862,1,19,3,1955,0,1,2022,"Elegant duplex with dual master suites, skylights, heated bathroom floors, and a serene zen garden in the courtyard."
"355 Example St, Miami",Miami,1029700,5,1984,2,54,2,1989,1,1,3617,"A sun-drenched corner property with vaulted ceilings, hardwood floors, and a spacious backyard perfect for entertaining."
"553 Example St, Chicago",Chicago,1162282,5,686,4,23,3,1996,1,1,2421,"Renovated craftsman-style house with vintage finishes, a library nook, and a detached art studio in the backyard."
"200 Example St, Miami",Miami,499623,2,3009,4,10,1,1955,1,0,5403,"Elegant duplex with dual master suites, skylights, heated bathroom floors, and a serene zen garden in the courtyard."
"767 Example St, Chicago",Chicago,755493,2,2868,9,59,2,1995,1,0,6505,"Luxury condo in a high-rise tower with 24/7 concierge service, gym, pool access, and direct elevator to private lobby."
"956 Example St, Miami",Miami,492826,3,1542,10,19,3,1976,0,1,3293,"Luxury condo in a high-rise tower with 24/7 concierge service, gym, pool access, and direct elevator to private lobby."
"195 Example St, Austin",Austin,717215,2,3010,1,60,3,1981,1,3,5262,"Modern architectural gem with glass walls, smart home integration, and a rooftop patio overlooking the skyline."
"270 Example St, Denver",Denver,1377274,5,1502,9,11,2,1963,0,0,2528,"Nestled in a quiet cul-de-sac, this home boasts panoramic city views, a gourmet kitchen, and a cozy fireplace in the living room."
"597 Example St, Denver",Denver,1330317,5,629,4,29,4,1995,1,3,4527,"Elegant duplex with dual master suites, skylights, heated bathroom floors, and a serene zen garden in the courtyard."
"318 Example St, Denver",Denver,751009,1,890,9,22,3,2021,0,3,4729,"Modern architectural gem with glass walls, smart home integration, and a rooftop patio overlooking the skyline."
"160 Example St, Austin",Austin,1425965,5,3499,7,34,1,2002,1,1,6709,"Nestled in a quiet cul-de-sac, this home boasts panoramic city views, a gourmet kitchen, and a cozy fireplace in the living room."
"488 Example St, Miami",Miami,1098490,3,3184,4,45,3,1969,0,3,8129,"Renovated craftsman-style house with vintage finishes, a library nook, and a detached art studio in the backyard."
"499 Example St, Seattle",Seattle,1423757,4,841,8,58,1,1980,0,3,5157,"Elegant duplex with dual master suites, skylights, heated bathroom floors, and a serene zen garden in the courtyard."
"902 Example St, Denver",Denver,1037603,1,1537,10,28,2,1970,1,3,5443,"Nestled in a quiet cul-de-sac, this home boasts panoramic city views, a gourmet kitchen, and a cozy fireplace in the living room."
"392 Example St, Denver",Denver,959161,1,876,5,15,3,1972,1,1,1886,"Elegant duplex with dual master suites, skylights, heated bathroom floors, and a serene zen garden in the courtyard."
"813 Example St, Chicago",Chicago,659948,3,728,1,28,1,2002,0,1,2922,"A sun-drenched corner property with vaulted ceilings, hardwood floors, and a spacious backyard perfect for entertaining."
